Name;Vorname;Titel;Genre
Kubrick;Stanley;2001 - A Space Odyssee;Kinofilm
Achternbusch;Herbert;Bierkampf;Kinofilm
Lee;Spike;4 Little Girls;Dokumentarfilm
Akin;Fatih;Soul Kitchen;Kinofilm
Hoffmann;Jens;9 to 5 Days of Porn;Dokumentarfilm
Howard;Ron ;A Beautiful Mind;Kinofilm
Morris;Errol;A Brief History of Time;Dokumentarfilm
Allen;Woody;Annie Hall;Kinofilm
Allen;Woody;Hannah and her Sisters;Kinofilm
Allen;Woody;Husbands & Wives;Kinofilm
Allen;Woody;Manhattan;Kinofilm
Gordon ;Daniel;A State of Mind;Dokumentarfilm
Allen;Woody;Match Point ;Kinofilm
Allen;Woody;Stardust Memories;Kinofilm
Payne;Alexander;About Schmidt;Kinofilm
Allen;Woody;Radio Days;Kinofilm
Glynn;Clara;Adolf Eichmann - Begegnungen mit einem M_rder;Dokumentarfilm
Allen;Woody;To Rome With Love;Kinofilm
Almodovar;Pedro;Talk to Her;Kinofilm
Scagliotti;John;After Stonewall;Dokumentarfilm
Penn;Arthur;Alice's Restaurant;Kinofilm
Scott;Ridley;Alien;Kinofilm
Almodovar;Pedro;AtaMe;Kinofilm
Almodovar;Pedro;Mujeres al borde de una ataque nervioso;Kinofilm
Almodovar;Pedro;La Piel Que Habito;Kinofilm
Almodovar;Pedro;Carne Tremula;Kinofilm
Almodovar;Pedro;Alles Ùber meine Mutter;Kinofilm
Bayerischer Rundfunk;;Alpenrock;Dokumentarfilm
Danquart;Pepe;Am Limit;Dokumentarfilm
Almodovar;Pedro;Que he hecho yo para merecer esto;Kinofilm
Almodovar;Pedro;Kika;Kinofilm
Kopple;Barbara;American Dream;Dokumentarfilm
Lucas;George;American Graffiti;Kinofilm
Kaye;Tony;American History X;Kinofilm
Smith;Chris;American Movie ;Dokumentarfilm
Altman;Robert;Gosford Park;Kinofilm
Altman;Robert;Mash;Kinofilm
Inarritu;Alejandro;Amores perros;Kinofilm
Guggenheim;David;An Inconvenient Truth;Dokumentarfilm
Altman;Robert;Nashville;Kinofilm
Altman;Robert;Pret-a-porter;Kinofilm
Gervasis;Sacha;Anvil - The Story of Anvil;Dokumentarfilm
Amenabar;Alejandro;Mar Adentro;Kinofilm
Anderson;Wes;darjeeling limited;Kinofilm
Davis;Andrew;Auf der Flucht;Kinofilm
Anderson;Lindsey;Ifƒ;Kinofilm
Anderson;Paul Thomas;Magnolia;Kinofilm
Thorwarth;Peter;Bang Boom Bang;Kinofilm
Anderson;Wes;Rushmore;Kinofilm
Anderson;Wes;The Royal Tenenbaums;Kinofilm
Brown;Margret;Be Here to Love Me: A Film About Townes Van Zandt;Dokumentarfilm
Anderson;Paul Thomas;There Will Be Blood;Kinofilm
Anderson;Roy;Du Levande;Kinofilm
Anderson;Roy;Songs From The Second Floor;Kinofilm
Jonze;Spike;Being John Malkovich;Kinofilm
Anderson;Wes;Moonrise Kingdom;Kinofilm
Sch_nb_ck;Karl;Bellaria;Dokumentarfilm
Rosi;Gianfranco;Below Sea Level;Dokumentarfilm
Antonioni;Michelangelo;Blowup;Kinofilm
Antonioni;Michelangelo;The Passenger;Kinofilm
Apatow;Judd;The 40 year old virgin;Kinofilm
Bell;Chris;Bigger Stronger Faster;Dokumentarfilm
Apichatpong;Weerasethakul ;Tropical Malady;Kinofilm
Block;Doug;Birch Street;Dokumentarfilm
Apichatpong;Weerasethakul ;Uncle Boonmee;Kinofilm
Arnold ;Andrea;Fish Tank;Kinofilm
Aronofsky;Darren;Pi;Kinofilm
Aronofsky;Darren;Requiem for a Dream;Kinofilm
Aronofsky;Darren;The Wrestler;Kinofilm
Lynch;David;Blue Velvet;Kinofilm
Reitman;Ivan;Blues Brothers;Kinofilm
Penn;Arthur;Bonnie & Clyde;Kinofilm
Anderson;Paul Thomas;Boogie Nights;Kinofilm
Moore;Michael;Bowling for columbine;Dokumentarfilm
Aronofsky;Darren;Black Swan;Kinofilm
Ashby;Hal;Being There;Kinofilm
Ashby;Hal;Harold and Maude;Kinofilm
Avary;Roger;Rules of Attraction;Kinofilm
Sinofsky;Bruce;Brother's Keeper;Dokumentarfilm
Bahrani;Ramin;Chop Shop;Kinofilm
Bechis;Marco ;Birdwatchers;Kinofilm
Blank;Les;Burden of Dreams;Dokumentarfilm
Padilha ;Jose;Bus 174;Dokumentarfilm
Bergman;Ingmar;Das siebente Siegel;Kinofilm
R_ckenhaus;Freddie;California Dreamin;Dokumentarfilm
Bergman;Ingmar;Die Jungfrauenquelle;Kinofilm
Lewis;Mark;Cane Toads;Dokumentarfilm
Jarecki;Andrew;Capturing the Friedmans;Dokumentarfilm
Scorcese;Martin;Casino;Kinofilm
Bergman;Ingmar;Fanny und Alexander;Kinofilm
Bergman;Ingmar;Through a Glass Darkly;Kinofilm
;;Charles Bukowski;Dokumentarfilm
Bartley;Kim;Chavez: Inside the Coup;Dokumentarfilm
Bergman;Ingmar;Face to Face;Kinofilm
Bergman;Ingmar;Wild Strawberries;Kinofilm
Bertolucci;Bernardo;Der letzte Kaiser;Kinofilm
Christlieb;Angela;Cinemania;Dokumentarfilm
Meirelles;Fernando;City of God;Kinofilm
Bertolucci;Bernardo;Der letzte Tango in Paris;Kinofilm
Bertolucci;Bernardo;The Conformist;Kinofilm
Besson;Luc;Leon;Kinofilm
Corben ;Billy ;Cocaine Cowboys;Dokumentarfilm
Bogdanovich;Peter;Papermoon;Kinofilm
Hopper;Dennis;Colors;Kinofilm
Bogdanovich;Peter;The Last Picture Show;Kinofilm
Mangold;James;Cop Land;Kinofilm
Bogdanovich;Peter;What's up Doc?;Kinofilm
Zwigoff;Terry;Crumb;Dokumentarfilm
Bollain;Iciar;Te doy mis ojos;Kinofilm
Boyle;Danny;Slumdog Millionaire;Kinofilm
Jones;Alex;Dark Secrets: Inside Bohemian Grove;Dokumentarfilm
Braff;Zach;Garden State;Kinofilm
Wagner;Dagmar;Das Ei ist eine geschissene Gottesgabe;Dokumentarfilm
Dittert;Anette;Das Ende der Bowery;Dokumentarfilm
Besson;Luc;Das fÙnfte Element;Kinofilm
